序號,日期,客戶ID,品名,單價,數量,金額,備註,對方統編,銷售額,稅額,含稅金額,名稱,聯絡人,地址,連絡電話,email,載具類別號碼,載具顯碼id,載具隱碼id,發票捐贈對象
A01561051220,2016/12/31,A0156,10512表單收入," 10,000 ",1," 10,000 ",A01561051220,53128245," 9,524 ", 476 ," 10,000 ",大展事業有限公司,鄭小姐,台北市內湖區金龍路7號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01691051220,2016/12/31,A0169,10512表單收入," 19,000 ",1," 19,000 ",A01691051220,97407526," 16,190 ", 905 ," 19,000 ",真誠房屋仲介有限公司,鄭小姐,桃園市平鎮區環南路22號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A01861051220,2016/12/31,A0186,10512表單收入," 6,000 ",1," 6,000 ",A01861051220,45892189," 3,810 ", 285 ," 6,000 ",富茂不動產仲介經紀有限公司,鄭小姐,台南市永康區小東路577號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02041051220,2016/12/31,A0204,10512表單收入," 6,675 ",1," 6,675 ",A02041051220,80060726," 6,357 ", 318 ," 6,675 ",居易不動產仲介經紀有限公司,鄭小姐,基隆市中山區中和路8之3號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02301051220,2016/12/31,A0230,10512表單收入," 11,475 ",1," 11,475 ",A02301051220,16275497," 9,024 ", 546 ," 11,475 ",品旺房屋仲介有限公司,鄭小姐,桃園市桃園區中正路939號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02321051220,2016/12/31,A0232,10512表單收入," 6,000 ",1," 6,000 ",A02321051220,16357981," 5,714 ", 286 ," 6,000 ",俊美房屋仲介開發有限公司,鄭小姐,台中市大甲區中山路一段937號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02731051220,2016/12/31,A0273,10512表單收入," 9,450 ",1," 9,450 ",A02731051220,16510818," 7,095 ", 450 ," 9,450 ",晁廣不動產仲介經紀有限公司,鄭小姐,新北市新店區中央五街34號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02791051220,2016/12/31,A0279,10512表單收入," 14,500 ",1," 14,500 ",A02791051220,89442710," 11,905 ", 690 ," 14,500 ",威德房屋仲介有限公司,鄭小姐,台北市中正區南昌路一段75號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A02931051220,2016/12/31,A1175,10512表單收入," 2,500 ",1," 2,500 ",A02931051220,79951685," 2,381 ", 119 ," 2,500 ",?富不動產經紀有限公司,鄭小姐,台中市清水區中華路243號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
A03191051220,2016/12/31,A1261,10512表單收入," 12,500 ",1," 12,500 ",A03191051220,24730858," 11,905 ", 595 ," 12,500 ",旭?不動產仲介經紀有限公司,鄭小姐,新北市新莊區中原路123號,02-55590688,sophia_cheng@etwarm.com.tw,,,,
